deck,card,number of times played
Exp1_Warlock_Control,Silverback Patriarch,50835
Exp1_Warlock_Control,Flesheating Ghoul,50610
Exp1_Warlock_Control,Mind Control Tech,50249
Exp1_Warlock_Control,Loot Hoarder,50011
Exp1_Warlock_Control,Scarlet Crusader,49892
Exp1_Warlock_Control,Ravenholdt Assassin,49217
Exp1_Warlock_Control,Dalaran Mage,48923
Exp1_Warlock_Control,Void Terror,48362
Exp1_Warlock_Control,Alexstrasza,44935
Exp1_Warlock_Control,Bananas,36481
Exp1_Warlock_Control,Mortal Coil,1187
Exp1_Warlock_Control,Ysera Awakens,1
Exp1_Warlock_Control,Laughing Sister,1
Exp1_Warlock_Control,Emerald Drake,1
Exp1_Warlock_Control,Dream,1
Exp2_Hunter_Aggro,Hungry Crab,72762
Exp2_Hunter_Aggro,Bluegill Warrior,70163
Exp2_Hunter_Aggro,Animal Companion,66604
Exp2_Hunter_Aggro,The Coin,58455
Exp2_Hunter_Aggro,Leeroy Jenkins,39657
Exp2_Hunter_Aggro,Wisp,39074
Exp2_Hunter_Aggro,Elven Archer,38837
Exp2_Hunter_Aggro,Explosive Shot,38631
Exp2_Hunter_Aggro,Kill Command,38071
Exp2_Hunter_Aggro,Worgen Infiltrator,37073
Exp2_Hunter_Aggro,Murloc Tidecaller,36619
Exp2_Hunter_Aggro,Lightwarden,36365
Exp2_Hunter_Aggro,Earthen Ring Farseer,36348
Exp2_Hunter_Aggro,Wild Pyromancer,34768
Exp2_Hunter_Aggro,Murloc Tidehunter,34723
Exp2_Hunter_Aggro,Knife Juggler,34316
Exp2_Hunter_Aggro,Scavenging Hyena,34302
Exp2_Hunter_Aggro,River Crocolisk,34069
Exp2_Hunter_Aggro,Reckless Rocketeer,33966
Exp2_Hunter_Aggro,Wolfrider,33792
Exp2_Hunter_Aggro,Injured Blademaster,32430
Exp2_Hunter_Aggro,The Black Knight,32233
Exp2_Hunter_Aggro,Doomsayer,30048
Exp2_Hunter_Aggro,Archmage,26151
Exp2_Hunter_Aggro,Core Hound,24599
Exp2_Hunter_Aggro,Ravenholdt Assassin,22483
Exp2_Hunter_Aggro,Bananas,19509
Exp2_Hunter_Aggro,Mountain Giant,10281
Exp2_Hunter_Aggro,Ysera,7650
Exp2_Hunter_Aggro,Nightmare,1227
Exp2_Hunter_Aggro,Dream,1084
Exp2_Hunter_Aggro,Laughing Sister,910
Exp2_Hunter_Aggro,Emerald Drake,867
Exp2_Hunter_Aggro,Ysera Awakens,846
Exp2_Hunter_Aggro,Mortal Coil,484
Exp2_Hunter_Aggro,Leokk,3
Exp2_Hunter_Aggro,Huffer,3
Exp2_Hunter_Aggro,Murloc Scout,2
Exp2_Hunter_Aggro,Misha,2
Exp2_Hunter_Aggro,Finkle Einhorn,1
Exp2_Hunter_Control,Young Priestess,104841
Exp2_Hunter_Control,Shattered Sun Cleric,103359
Exp2_Hunter_Control,Imp Master,102416
Exp2_Hunter_Control,Dragonling Mechanic,59365
Exp2_Hunter_Control,Silver Hand Knight,59124
Exp2_Hunter_Control,Sen,59005
Exp2_Hunter_Control,Fen Creeper,58739
Exp2_Hunter_Control,The Coin,58317
Exp2_Hunter_Control,Animal Companion,52724
Exp2_Hunter_Control,Millhouse Manastorm,52601
Exp2_Hunter_Control,King Mukla,52558
Exp2_Hunter_Control,Stonetusk Boar,52430
Exp2_Hunter_Control,Murloc Raider,52334
Exp2_Hunter_Control,Voodoo Doctor,52323
Exp2_Hunter_Control,Raid Leader,52298
Exp2_Hunter_Control,Young Dragonhawk,52251
Exp2_Hunter_Control,Amani Berserker,52234
Exp2_Hunter_Control,Argent Squire,52203
Exp2_Hunter_Control,Faerie Dragon,52087
Exp2_Hunter_Control,River Crocolisk,51984
Exp2_Hunter_Control,Eaglehorn Bow,51880
Exp2_Hunter_Control,Jungle Panther,51625
Exp2_Hunter_Control,Frostwolf Grunt,51525
Exp2_Hunter_Control,Magma Rager,51401
Exp2_Hunter_Control,Thrallmar Farseer,50993
Exp2_Hunter_Control,Novice Engineer,49904
Exp2_Hunter_Control,Nat Pagle,49650
Exp2_Hunter_Control,Bananas,36820
Exp2_Hunter_Control,Mortal Coil,929
Exp2_Paladin_Aggro,Consecration,95340
Exp2_Paladin_Aggro,Blessing of Kings,95044
Exp2_Paladin_Aggro,Dire Wolf Alpha,77770
Exp2_Paladin_Aggro,The Coin,58708
Exp2_Paladin_Aggro,Nightblade,46804
Exp2_Paladin_Aggro,Dread Corsair,44648
Exp2_Paladin_Aggro,Frostwolf Warlord,44615
Exp2_Paladin_Aggro,Argent Commander,42786
Exp2_Paladin_Aggro,Blessing of Might,41632
Exp2_Paladin_Aggro,Voodoo Doctor,40326
Exp2_Paladin_Aggro,Worgen Infiltrator,40268
Exp2_Paladin_Aggro,Young Priestess,40100
Exp2_Paladin_Aggro,Young Dragonhawk,39823
Exp2_Paladin_Aggro,Hungry Crab,39775
Exp2_Paladin_Aggro,Argent Squire,39494
Exp2_Paladin_Aggro,Bluegill Warrior,39106
Exp2_Paladin_Aggro,Wild Pyromancer,38583
Exp2_Paladin_Aggro,Bloodsail Raider,38492
Exp2_Paladin_Aggro,Mana Wraith,38239
Exp2_Paladin_Aggro,Master Swordsmith,38146
Exp2_Paladin_Aggro,Mana Addict,38058
Exp2_Paladin_Aggro,Shattered Sun Cleric,37787
Exp2_Paladin_Aggro,Flesheating Ghoul,37623
Exp2_Paladin_Aggro,Ironfur Grizzly,36897
Exp2_Paladin_Aggro,Ironbeak Owl,36861
Exp2_Paladin_Aggro,Equality,36074
Exp2_Paladin_Aggro,Dalaran Mage,36005
Exp2_Paladin_Aggro,Tirion Fordring,28697
Exp2_Paladin_Aggro,Bananas,24624
Exp2_Paladin_Aggro,Mortal Coil,714
Exp2_Paladin_Control,Consecration,114107
Exp2_Paladin_Control,Pint-Sized Summoner,97119
Exp2_Paladin_Control,Earthen Ring Farseer,94867
Exp2_Paladin_Control,The Coin,57995
Exp2_Paladin_Control,Hammer of Wrath,56314
Exp2_Paladin_Control,Frostwolf Warlord,54717
Exp2_Paladin_Control,Booty Bay Bodyguard,54570
Exp2_Paladin_Control,Sunwalker,54268
Exp2_Paladin_Control,The Black Knight,54033
Exp2_Paladin_Control,Stampeding Kodo,54032
Exp2_Paladin_Control,Tirion Fordring,51089
Exp2_Paladin_Control,Young Priestess,50256
Exp2_Paladin_Control,Worgen Infiltrator,50239
Exp2_Paladin_Control,Light,49603
Exp2_Paladin_Control,Millhouse Manastorm,49365
Exp2_Paladin_Control,Crazed Alchemist,48840
Exp2_Paladin_Control,Wild Pyromancer,48404
Exp2_Paladin_Control,Mana Wraith,48324
Exp2_Paladin_Control,Aldor Peacekeeper,47694
Exp2_Paladin_Control,Raging Worgen,47566
Exp2_Paladin_Control,Razorfen Hunter,47532
Exp2_Paladin_Control,Tauren Warrior,47510
Exp2_Paladin_Control,Coldlight Seer,47214
Exp2_Paladin_Control,Murloc Warleader,47203
Exp2_Paladin_Control,Emperor Cobra,47168
Exp2_Paladin_Control,Imp Master,47053
Exp2_Paladin_Control,Alexstrasza,46174
Exp2_Paladin_Control,Nozdormu,44289
Exp2_Paladin_Control,Bananas,34213
Exp2_Paladin_Control,Mortal Coil,559
Exp2_Warlock_Aggro,Voodoo Doctor,94182
Exp2_Warlock_Aggro,Worgen Infiltrator,91283
Exp2_Warlock_Aggro,Dire Wolf Alpha,89191
Exp2_Warlock_Aggro,Faerie Dragon,89029
Exp2_Warlock_Aggro,Murloc Warleader,87194
Exp2_Warlock_Aggro,The Coin,58591
Exp2_Warlock_Aggro,Doomguard,54135
Exp2_Warlock_Aggro,Stampeding Kodo,46369
Exp2_Warlock_Aggro,Mortal Coil,46176
Exp2_Warlock_Aggro,Voidwalker,45760
Exp2_Warlock_Aggro,Young Dragonhawk,45574
Exp2_Warlock_Aggro,Southsea Deckhand,45450
Exp2_Warlock_Aggro,Succubus,45441
Exp2_Warlock_Aggro,Angry Chicken,45264
Exp2_Warlock_Aggro,Wolfrider,44967
Exp2_Warlock_Aggro,Argent Commander,44349
Exp2_Warlock_Aggro,Murloc Tidehunter,44200
Exp2_Warlock_Aggro,Pint-Sized Summoner,44139
Exp2_Warlock_Aggro,Tinkmaster Overspark,43924
Exp2_Warlock_Aggro,Sunfury Protector,43865
Exp2_Warlock_Aggro,Mind Control Tech,43831
Exp2_Warlock_Aggro,Void Terror,43115
Exp2_Warlock_Aggro,Demolisher,42983
Exp2_Warlock_Aggro,Loot Hoarder,42828
Exp2_Warlock_Aggro,Shieldbearer,40621
Exp2_Warlock_Aggro,Bananas,29575
Exp2_Warlock_Aggro,Malygos,19709
Exp2_Warlock_Aggro,Murloc Scout,1
Exp2_Warlock_Control,Abusive Sergeant,111671
Exp2_Warlock_Control,Dire Wolf Alpha,110495
Exp2_Warlock_Control,Master Swordsmith,109721
Exp2_Warlock_Control,Mortal Coil,68448
Exp2_Warlock_Control,Bananas,65013
Exp2_Warlock_Control,The Coin,62895
Exp2_Warlock_Control,Dark Iron Dwarf,61317
Exp2_Warlock_Control,Stormwind Knight,60950
Exp2_Warlock_Control,Fen Creeper,60462
Exp2_Warlock_Control,Darkscale Healer,60090
Exp2_Warlock_Control,The Beast,60025
Exp2_Warlock_Control,Sunwalker,59117
Exp2_Warlock_Control,Priestess of Elune,57749
Exp2_Warlock_Control,King Mukla,56140
Exp2_Warlock_Control,Leper Gnome,55952
Exp2_Warlock_Control,Young Priestess,55859
Exp2_Warlock_Control,Voodoo Doctor,55683
Exp2_Warlock_Control,Succubus,55095
Exp2_Warlock_Control,Kobold Geomancer,54921
Exp2_Warlock_Control,Wild Pyromancer,54870
Exp2_Warlock_Control,Mana Wraith,54821
Exp2_Warlock_Control,River Crocolisk,54800
Exp2_Warlock_Control,Raging Worgen,54736
Exp2_Warlock_Control,Lorewalker Cho,54708
Exp2_Warlock_Control,Sunfury Protector,54432
Exp2_Warlock_Control,Emperor Cobra,53914
Exp2_Warlock_Control,Loot Hoarder,53684
Exp2_Warlock_Control,Harvest Golem,53615
Exp2_Warlock_Control,Alexstrasza,45810
Exp2_Warlock_Control,Consecration,5355
Exp2_Warlock_Control,Animal Companion,3313
Exp2_Warlock_Control,Blessing of Kings,1781
Exp2_Warlock_Control,Siphon Soul,934
Exp2_Warlock_Control,Unleash the Hounds,837
Exp2_Warlock_Control,Snake Trap,641
Exp2_Warlock_Control,Hammer of Wrath,607
Exp2_Warlock_Control,Avenging Wrath,588
Exp2_Warlock_Control,Lay on Hands,551
Exp2_Warlock_Control,Kill Command,535
Exp2_Warlock_Control,Explosive Shot,493
Exp2_Warlock_Control,Blessing of Might,493
Exp2_Warlock_Control,Equality,450
Exp2_Warlock_Control,Eye for an Eye,360
Exp2_Warlock_Control,Dream,24
Exp2_Warlock_Control,Nightmare,20
Exp2_Warlock_Control,Ysera Awakens,4
Exp2_Warlock_Control,Damaged Golem,1
