deck,card,number of times played
Exp2_Hunter_Aggro,Bluegill Warrior,62221
Exp2_Hunter_Aggro,The Coin,60117
Exp2_Hunter_Aggro,Animal Companion,58153
Exp2_Hunter_Aggro,Hungry Crab,57554
Exp2_Hunter_Aggro,Leeroy Jenkins,36342
Exp2_Hunter_Aggro,Kill Command,35050
Exp2_Hunter_Aggro,Wisp,34627
Exp2_Hunter_Aggro,Earthen Ring Farseer,34549
Exp2_Hunter_Aggro,Elven Archer,34426
Exp2_Hunter_Aggro,Wolfrider,30416
Exp2_Hunter_Aggro,Worgen Infiltrator,30316
Exp2_Hunter_Aggro,Murloc Tidecaller,28126
Exp2_Hunter_Aggro,Lightwarden,27447
Exp2_Hunter_Aggro,Murloc Tidehunter,26520
Exp2_Hunter_Aggro,Wild Pyromancer,25282
Exp2_Hunter_Aggro,Knife Juggler,21319
Exp2_Hunter_Aggro,Injured Blademaster,20011
Exp2_Hunter_Aggro,Scavenging Hyena,19506
Exp2_Hunter_Aggro,River Crocolisk,19305
Exp2_Hunter_Aggro,Reckless Rocketeer,18577
Exp2_Hunter_Aggro,Explosive Shot,16728
Exp2_Hunter_Aggro,The Black Knight,14924
Exp2_Hunter_Aggro,Bananas,8834
Exp2_Hunter_Aggro,Archmage,3090
Exp2_Hunter_Aggro,Doomsayer,2407
Exp2_Hunter_Aggro,Core Hound,1756
Exp2_Hunter_Aggro,Ravenholdt Assassin,1122
Exp2_Hunter_Aggro,Mountain Giant,308
Exp2_Hunter_Aggro,Mortal Coil,67
Exp2_Hunter_Aggro,Ysera,6
Exp2_Hunter_Control,Young Priestess,81983
Exp2_Hunter_Control,Shattered Sun Cleric,78112
Exp2_Hunter_Control,Imp Master,60019
Exp2_Hunter_Control,The Coin,59545
Exp2_Hunter_Control,Sen,52085
Exp2_Hunter_Control,Fen Creeper,51812
Exp2_Hunter_Control,Dragonling Mechanic,50475
Exp2_Hunter_Control,Silver Hand Knight,49208
Exp2_Hunter_Control,Voodoo Doctor,42769
Exp2_Hunter_Control,Animal Companion,42284
Exp2_Hunter_Control,Frostwolf Grunt,42202
Exp2_Hunter_Control,Millhouse Manastorm,40966
Exp2_Hunter_Control,Murloc Raider,40789
Exp2_Hunter_Control,Faerie Dragon,40211
Exp2_Hunter_Control,King Mukla,40131
Exp2_Hunter_Control,Raid Leader,40018
Exp2_Hunter_Control,Magma Rager,39883
Exp2_Hunter_Control,Stonetusk Boar,39829
Exp2_Hunter_Control,Argent Squire,39558
Exp2_Hunter_Control,Young Dragonhawk,39495
Exp2_Hunter_Control,Amani Berserker,38733
Exp2_Hunter_Control,River Crocolisk,38637
Exp2_Hunter_Control,Jungle Panther,37291
Exp2_Hunter_Control,Novice Engineer,34918
Exp2_Hunter_Control,Thrallmar Farseer,32115
Exp2_Hunter_Control,Nat Pagle,31271
Exp2_Hunter_Control,Eaglehorn Bow,18604
Exp2_Hunter_Control,Bananas,15406
Exp2_Hunter_Control,Deathwing,3008
Exp2_Hunter_Control,Mortal Coil,279
Exp2_Paladin_Aggro,Consecration,86255
Exp2_Paladin_Aggro,Blessing of Kings,75830
Exp2_Paladin_Aggro,Dire Wolf Alpha,63971
Exp2_Paladin_Aggro,The Coin,58891
Exp2_Paladin_Aggro,Nightblade,42989
Exp2_Paladin_Aggro,Voodoo Doctor,35010
Exp2_Paladin_Aggro,Blessing of Might,33148
Exp2_Paladin_Aggro,Young Priestess,32210
Exp2_Paladin_Aggro,Worgen Infiltrator,31896
Exp2_Paladin_Aggro,Bluegill Warrior,31025
Exp2_Paladin_Aggro,Shattered Sun Cleric,30858
Exp2_Paladin_Aggro,Hungry Crab,30659
Exp2_Paladin_Aggro,Wild Pyromancer,30647
Exp2_Paladin_Aggro,Young Dragonhawk,30394
Exp2_Paladin_Aggro,Argent Squire,30107
Exp2_Paladin_Aggro,Bloodsail Raider,28657
Exp2_Paladin_Aggro,Frostwolf Warlord,28512
Exp2_Paladin_Aggro,Mana Wraith,28428
Exp2_Paladin_Aggro,Ironbeak Owl,26849
Exp2_Paladin_Aggro,Ironfur Grizzly,26328
Exp2_Paladin_Aggro,Master Swordsmith,25497
Exp2_Paladin_Aggro,Mana Addict,23853
Exp2_Paladin_Aggro,Argent Commander,23768
Exp2_Paladin_Aggro,Dread Corsair,23254
Exp2_Paladin_Aggro,Flesheating Ghoul,21936
Exp2_Paladin_Aggro,Dalaran Mage,14390
Exp2_Paladin_Aggro,Equality,13236
Exp2_Paladin_Aggro,Bananas,11977
Exp2_Paladin_Aggro,Tirion Fordring,7959
Exp2_Paladin_Aggro,Mortal Coil,95
Exp2_Paladin_Control,Consecration,97569
Exp2_Paladin_Control,Earthen Ring Farseer,83906
Exp2_Paladin_Control,Pint-Sized Summoner,74941
Exp2_Paladin_Control,The Coin,59509
Exp2_Paladin_Control,Booty Bay Bodyguard,51445
Exp2_Paladin_Control,Sunwalker,49445
Exp2_Paladin_Control,Stampeding Kodo,45027
Exp2_Paladin_Control,Tauren Warrior,42879
Exp2_Paladin_Control,Razorfen Hunter,42195
Exp2_Paladin_Control,Young Priestess,41096
Exp2_Paladin_Control,Millhouse Manastorm,40940
Exp2_Paladin_Control,Worgen Infiltrator,40792
Exp2_Paladin_Control,Crazed Alchemist,40362
Exp2_Paladin_Control,Frostwolf Warlord,40050
Exp2_Paladin_Control,Wild Pyromancer,39709
Exp2_Paladin_Control,Mana Wraith,37608
Exp2_Paladin_Control,The Black Knight,37449
Exp2_Paladin_Control,Hammer of Wrath,36598
Exp2_Paladin_Control,Tirion Fordring,36239
Exp2_Paladin_Control,Aldor Peacekeeper,35697
Exp2_Paladin_Control,Murloc Warleader,35668
Exp2_Paladin_Control,Raging Worgen,35431
Exp2_Paladin_Control,Light,34847
Exp2_Paladin_Control,Coldlight Seer,29735
Exp2_Paladin_Control,Emperor Cobra,28345
Exp2_Paladin_Control,Imp Master,26266
Exp2_Paladin_Control,Alexstrasza,19465
Exp2_Paladin_Control,Bananas,17453
Exp2_Paladin_Control,Nozdormu,10421
Exp2_Paladin_Control,Mortal Coil,202
Exp2_Warlock_Aggro,Voodoo Doctor,74544
Exp2_Warlock_Aggro,Dire Wolf Alpha,68873
Exp2_Warlock_Aggro,Worgen Infiltrator,67796
Exp2_Warlock_Aggro,Faerie Dragon,65017
Exp2_Warlock_Aggro,Murloc Warleader,61666
Exp2_Warlock_Aggro,The Coin,58885
Exp2_Warlock_Aggro,Doomguard,38641
Exp2_Warlock_Aggro,Succubus,34746
Exp2_Warlock_Aggro,Murloc Tidehunter,33812
Exp2_Warlock_Aggro,Southsea Deckhand,33737
Exp2_Warlock_Aggro,Tinkmaster Overspark,33609
Exp2_Warlock_Aggro,Young Dragonhawk,32607
Exp2_Warlock_Aggro,Wolfrider,32579
Exp2_Warlock_Aggro,Angry Chicken,32233
Exp2_Warlock_Aggro,Voidwalker,32055
Exp2_Warlock_Aggro,Mind Control Tech,31994
Exp2_Warlock_Aggro,Pint-Sized Summoner,29384
Exp2_Warlock_Aggro,Void Terror,29333
Exp2_Warlock_Aggro,Loot Hoarder,29190
Exp2_Warlock_Aggro,Sunfury Protector,29038
Exp2_Warlock_Aggro,Stampeding Kodo,22481
Exp2_Warlock_Aggro,Mortal Coil,20000
Exp2_Warlock_Aggro,Argent Commander,19500
Exp2_Warlock_Aggro,Demolisher,18417
Exp2_Warlock_Aggro,Bananas,12872
Exp2_Warlock_Aggro,Shieldbearer,9288
Exp2_Warlock_Aggro,Malygos,1847
Exp2_Warlock_Control,Abusive Sergeant,88209
Exp2_Warlock_Control,Dire Wolf Alpha,86295
Exp2_Warlock_Control,Master Swordsmith,74764
Exp2_Warlock_Control,The Coin,59785
Exp2_Warlock_Control,Fen Creeper,52530
Exp2_Warlock_Control,Dark Iron Dwarf,50722
Exp2_Warlock_Control,Darkscale Healer,48599
Exp2_Warlock_Control,Sunwalker,47417
Exp2_Warlock_Control,Sunfury Protector,45083
Exp2_Warlock_Control,Voodoo Doctor,44975
Exp2_Warlock_Control,Priestess of Elune,43595
Exp2_Warlock_Control,Young Priestess,43043
Exp2_Warlock_Control,Succubus,42721
Exp2_Warlock_Control,Leper Gnome,42294
Exp2_Warlock_Control,Wild Pyromancer,42216
Exp2_Warlock_Control,King Mukla,42164
Exp2_Warlock_Control,Stormwind Knight,40903
Exp2_Warlock_Control,River Crocolisk,40307
Exp2_Warlock_Control,Mana Wraith,40228
Exp2_Warlock_Control,Raging Worgen,40104
Exp2_Warlock_Control,Kobold Geomancer,40045
Exp2_Warlock_Control,Loot Hoarder,39797
Exp2_Warlock_Control,Mortal Coil,39086
Exp2_Warlock_Control,The Beast,37003
Exp2_Warlock_Control,Harvest Golem,35791
Exp2_Warlock_Control,Emperor Cobra,35752
Exp2_Warlock_Control,Lorewalker Cho,34302
Exp2_Warlock_Control,Bananas,22458
Exp2_Warlock_Control,Alexstrasza,16066
Exp2_Warlock_Control,Consecration,3522
Exp2_Warlock_Control,Animal Companion,1291
Exp2_Warlock_Control,Siphon Soul,648
Exp2_Warlock_Control,Avenging Wrath,474
Exp2_Warlock_Control,Blessing of Kings,433
Exp2_Warlock_Control,Kill Command,270
Exp2_Warlock_Control,Unleash the Hounds,215
Exp2_Warlock_Control,Lay on Hands,192
Exp2_Warlock_Control,Hammer of Wrath,180
Exp2_Warlock_Control,Blessing of Might,159
Exp2_Warlock_Control,Explosive Shot,114
Exp2_Warlock_Control,Equality,42
Exp2_Warlock_Control,Eye for an Eye,6
