deck,card,number of times played
Exp1_Paladin_Aggro,Consecration,92063
Exp1_Paladin_Aggro,Voodoo Doctor,72513
Exp1_Paladin_Aggro,Lightwarden,64512
Exp1_Paladin_Aggro,Secretkeeper,64292
Exp1_Paladin_Aggro,The Coin,59381
Exp1_Paladin_Aggro,Scarlet Crusader,58337
Exp1_Paladin_Aggro,Blessing of Kings,43285
Exp1_Paladin_Aggro,Avenging Wrath,37084
Exp1_Paladin_Aggro,Millhouse Manastorm,34809
Exp1_Paladin_Aggro,King Mukla,34709
Exp1_Paladin_Aggro,Dire Wolf Alpha,34437
Exp1_Paladin_Aggro,Young Priestess,33605
Exp1_Paladin_Aggro,Worgen Infiltrator,33494
Exp1_Paladin_Aggro,Murloc Tidehunter,32308
Exp1_Paladin_Aggro,Acidic Swamp Ooze,32267
Exp1_Paladin_Aggro,Goldshire Footman,32034
Exp1_Paladin_Aggro,Sunfury Protector,30138
Exp1_Paladin_Aggro,Southsea Captain,29157
Exp1_Paladin_Aggro,Ironfur Grizzly,28649
Exp1_Paladin_Aggro,Mana Addict,28061
Exp1_Paladin_Aggro,The Beast,24674
Exp1_Paladin_Aggro,Stampeding Kodo,24618
Exp1_Paladin_Aggro,Truesilver Champion,17313
Exp1_Paladin_Aggro,Bananas,15275
Exp1_Paladin_Aggro,Baron Geddon,13959
Exp1_Paladin_Aggro,Lay on Hands,13825
Exp1_Paladin_Aggro,Eye for an Eye,13650
Exp1_Paladin_Aggro,Mortal Coil,98
Exp1_Paladin_Control,Consecration,95025
Exp1_Paladin_Control,Raid Leader,75860
Exp1_Paladin_Control,Mind Control Tech,75012
Exp1_Paladin_Control,Bloodsail Raider,73957
Exp1_Paladin_Control,Raging Worgen,68919
Exp1_Paladin_Control,The Coin,58988
Exp1_Paladin_Control,Fen Creeper,51576
Exp1_Paladin_Control,Sunwalker,48025
Exp1_Paladin_Control,Dark Iron Dwarf,47329
Exp1_Paladin_Control,Ironfur Grizzly,41759
Exp1_Paladin_Control,Priestess of Elune,40642
Exp1_Paladin_Control,Young Priestess,39921
Exp1_Paladin_Control,Stonetusk Boar,39105
Exp1_Paladin_Control,Shattered Sun Cleric,38782
Exp1_Paladin_Control,Wild Pyromancer,38325
Exp1_Paladin_Control,Hungry Crab,37851
Exp1_Paladin_Control,Master Swordsmith,34831
Exp1_Paladin_Control,Murloc Warleader,34343
Exp1_Paladin_Control,Tirion Fordring,33441
Exp1_Paladin_Control,Light,32132
Exp1_Paladin_Control,Stormwind Champion,30592
Exp1_Paladin_Control,Coldlight Seer,27658
Exp1_Paladin_Control,Questing Adventurer,27108
Exp1_Paladin_Control,Thrallmar Farseer,25889
Exp1_Paladin_Control,Imp Master,25102
Exp1_Paladin_Control,Alexstrasza,18109
Exp1_Paladin_Control,Bananas,14977
Exp1_Paladin_Control,Mortal Coil,219
Exp1_Warlock_Aggro,Worgen Infiltrator,72254
Exp1_Warlock_Aggro,Faerie Dragon,65861
Exp1_Warlock_Aggro,The Coin,58798
Exp1_Warlock_Aggro,Youthful Brewmaster,55423
Exp1_Warlock_Aggro,Nightblade,45730
Exp1_Warlock_Aggro,Dark Iron Dwarf,44843
Exp1_Warlock_Aggro,Wisp,41018
Exp1_Warlock_Aggro,Defender of Argus,39513
Exp1_Warlock_Aggro,Young Priestess,35912
Exp1_Warlock_Aggro,Southsea Deckhand,35665
Exp1_Warlock_Aggro,Succubus,35314
Exp1_Warlock_Aggro,King Mukla,35261
Exp1_Warlock_Aggro,Murloc Tidecaller,34567
Exp1_Warlock_Aggro,Lightwarden,33830
Exp1_Warlock_Aggro,Angry Chicken,33830
Exp1_Warlock_Aggro,Injured Blademaster,33816
Exp1_Warlock_Aggro,Wild Pyromancer,33001
Exp1_Warlock_Aggro,Leper Gnome,32587
Exp1_Warlock_Aggro,Bloodsail Raider,31208
Exp1_Warlock_Aggro,Pint-Sized Summoner,30825
Exp1_Warlock_Aggro,Sen,30597
Exp1_Warlock_Aggro,Blood Knight,30424
Exp1_Warlock_Aggro,Murloc Warleader,29769
Exp1_Warlock_Aggro,Scarlet Crusader,29675
Exp1_Warlock_Aggro,Novice Engineer,26695
Exp1_Warlock_Aggro,Lord of the Arena,23478
Exp1_Warlock_Aggro,Mortal Coil,23215
Exp1_Warlock_Aggro,Bananas,12731
Exp1_Warlock_Aggro,Sea Giant,10825
Exp1_Warlock_Aggro,Squirrel,34
Exp1_Warlock_Aggro,Whelp,3
Exp1_Warlock_Aggro,Finkle Einhorn,1
Exp1_Warlock_Control,Sen,103757
Exp1_Warlock_Control,Sunwalker,89307
Exp1_Warlock_Control,Bloodfen Raptor,80798
Exp1_Warlock_Control,Amani Berserker,75394
Exp1_Warlock_Control,The Coin,58789
Exp1_Warlock_Control,Mogu,53619
Exp1_Warlock_Control,Fen Creeper,52555
Exp1_Warlock_Control,Defender of Argus,50037
Exp1_Warlock_Control,Voodoo Doctor,44417
Exp1_Warlock_Control,Silverback Patriarch,43436
Exp1_Warlock_Control,Millhouse Manastorm,42074
Exp1_Warlock_Control,Murloc Tidecaller,41407
Exp1_Warlock_Control,Dire Wolf Alpha,40762
Exp1_Warlock_Control,Siphon Soul,40355
Exp1_Warlock_Control,Mind Control Tech,39677
Exp1_Warlock_Control,Knife Juggler,38691
Exp1_Warlock_Control,Doomguard,38206
Exp1_Warlock_Control,Bloodsail Raider,37531
Exp1_Warlock_Control,Loot Hoarder,36753
Exp1_Warlock_Control,Scarlet Crusader,36482
Exp1_Warlock_Control,Flesheating Ghoul,33055
Exp1_Warlock_Control,The Black Knight,31759
Exp1_Warlock_Control,Illidan Stormrage,30158
Exp1_Warlock_Control,Dalaran Mage,26074
Exp1_Warlock_Control,Void Terror,23759
Exp1_Warlock_Control,Bananas,22119
Exp1_Warlock_Control,Ravenholdt Assassin,21938
Exp1_Warlock_Control,Alexstrasza,19089
Exp1_Warlock_Control,Mortal Coil,422
Exp2_Hunter_Aggro,Bluegill Warrior,61402
Exp2_Hunter_Aggro,The Coin,59351
Exp2_Hunter_Aggro,Animal Companion,57453
Exp2_Hunter_Aggro,Hungry Crab,56847
Exp2_Hunter_Aggro,Leeroy Jenkins,36026
Exp2_Hunter_Aggro,Kill Command,34690
Exp2_Hunter_Aggro,Wisp,34193
Exp2_Hunter_Aggro,Elven Archer,33914
Exp2_Hunter_Aggro,Earthen Ring Farseer,33655
Exp2_Hunter_Aggro,Wolfrider,30187
Exp2_Hunter_Aggro,Worgen Infiltrator,30048
Exp2_Hunter_Aggro,Murloc Tidecaller,27549
Exp2_Hunter_Aggro,Lightwarden,27014
Exp2_Hunter_Aggro,Murloc Tidehunter,26270
Exp2_Hunter_Aggro,Wild Pyromancer,25448
Exp2_Hunter_Aggro,Knife Juggler,20916
Exp2_Hunter_Aggro,Injured Blademaster,19647
Exp2_Hunter_Aggro,Scavenging Hyena,19021
Exp2_Hunter_Aggro,River Crocolisk,18974
Exp2_Hunter_Aggro,Reckless Rocketeer,18418
Exp2_Hunter_Aggro,Explosive Shot,16489
Exp2_Hunter_Aggro,The Black Knight,14445
Exp2_Hunter_Aggro,Bananas,8950
Exp2_Hunter_Aggro,Archmage,2964
Exp2_Hunter_Aggro,Doomsayer,2285
Exp2_Hunter_Aggro,Core Hound,1753
Exp2_Hunter_Aggro,Ravenholdt Assassin,1105
Exp2_Hunter_Aggro,Mountain Giant,309
Exp2_Hunter_Aggro,Mortal Coil,80
Exp2_Hunter_Aggro,Ysera,2
Exp2_Hunter_Control,Young Priestess,80988
Exp2_Hunter_Control,Shattered Sun Cleric,77869
Exp2_Hunter_Control,The Coin,58996
Exp2_Hunter_Control,Imp Master,58562
Exp2_Hunter_Control,Sen,51242
Exp2_Hunter_Control,Fen Creeper,50926
Exp2_Hunter_Control,Dragonling Mechanic,49817
Exp2_Hunter_Control,Silver Hand Knight,48601
Exp2_Hunter_Control,Voodoo Doctor,42308
Exp2_Hunter_Control,Frostwolf Grunt,41949
Exp2_Hunter_Control,Animal Companion,41404
Exp2_Hunter_Control,Millhouse Manastorm,40470
Exp2_Hunter_Control,Murloc Raider,40260
Exp2_Hunter_Control,King Mukla,39746
Exp2_Hunter_Control,Magma Rager,39741
Exp2_Hunter_Control,Faerie Dragon,39660
Exp2_Hunter_Control,Raid Leader,39622
Exp2_Hunter_Control,Stonetusk Boar,39476
Exp2_Hunter_Control,Argent Squire,39202
Exp2_Hunter_Control,Young Dragonhawk,39172
Exp2_Hunter_Control,Amani Berserker,38353
Exp2_Hunter_Control,River Crocolisk,38046
Exp2_Hunter_Control,Jungle Panther,36773
Exp2_Hunter_Control,Novice Engineer,34433
Exp2_Hunter_Control,Thrallmar Farseer,31777
Exp2_Hunter_Control,Nat Pagle,31203
Exp2_Hunter_Control,Eaglehorn Bow,18460
Exp2_Hunter_Control,Bananas,15369
Exp2_Hunter_Control,Deathwing,3129
Exp2_Hunter_Control,Mortal Coil,214
Exp2_Paladin_Aggro,Consecration,85171
Exp2_Paladin_Aggro,Blessing of Kings,74748
Exp2_Paladin_Aggro,Dire Wolf Alpha,63213
Exp2_Paladin_Aggro,The Coin,58517
Exp2_Paladin_Aggro,Nightblade,42562
Exp2_Paladin_Aggro,Voodoo Doctor,34395
Exp2_Paladin_Aggro,Blessing of Might,32858
Exp2_Paladin_Aggro,Young Priestess,31867
Exp2_Paladin_Aggro,Worgen Infiltrator,31617
Exp2_Paladin_Aggro,Shattered Sun Cleric,30596
Exp2_Paladin_Aggro,Wild Pyromancer,30476
Exp2_Paladin_Aggro,Bluegill Warrior,30391
Exp2_Paladin_Aggro,Hungry Crab,29990
Exp2_Paladin_Aggro,Young Dragonhawk,29958
Exp2_Paladin_Aggro,Argent Squire,29835
Exp2_Paladin_Aggro,Bloodsail Raider,28483
Exp2_Paladin_Aggro,Mana Wraith,28104
Exp2_Paladin_Aggro,Frostwolf Warlord,27975
Exp2_Paladin_Aggro,Ironbeak Owl,26373
Exp2_Paladin_Aggro,Ironfur Grizzly,25907
Exp2_Paladin_Aggro,Master Swordsmith,25183
Exp2_Paladin_Aggro,Mana Addict,23818
Exp2_Paladin_Aggro,Argent Commander,23325
Exp2_Paladin_Aggro,Dread Corsair,22991
Exp2_Paladin_Aggro,Flesheating Ghoul,21500
Exp2_Paladin_Aggro,Dalaran Mage,14071
Exp2_Paladin_Aggro,Equality,13108
Exp2_Paladin_Aggro,Bananas,11684
Exp2_Paladin_Aggro,Tirion Fordring,7720
Exp2_Paladin_Aggro,Mortal Coil,121
Exp2_Paladin_Control,Consecration,96651
Exp2_Paladin_Control,Earthen Ring Farseer,83142
Exp2_Paladin_Control,Pint-Sized Summoner,73637
Exp2_Paladin_Control,The Coin,59138
Exp2_Paladin_Control,Booty Bay Bodyguard,50840
Exp2_Paladin_Control,Sunwalker,48842
Exp2_Paladin_Control,Stampeding Kodo,44250
Exp2_Paladin_Control,Tauren Warrior,42108
Exp2_Paladin_Control,Razorfen Hunter,42027
Exp2_Paladin_Control,Millhouse Manastorm,40526
Exp2_Paladin_Control,Young Priestess,40308
Exp2_Paladin_Control,Worgen Infiltrator,40235
Exp2_Paladin_Control,Crazed Alchemist,39925
Exp2_Paladin_Control,Frostwolf Warlord,39420
Exp2_Paladin_Control,Wild Pyromancer,39036
Exp2_Paladin_Control,The Black Knight,37202
Exp2_Paladin_Control,Mana Wraith,36673
Exp2_Paladin_Control,Tirion Fordring,36178
Exp2_Paladin_Control,Hammer of Wrath,36121
Exp2_Paladin_Control,Aldor Peacekeeper,35280
Exp2_Paladin_Control,Murloc Warleader,35197
Exp2_Paladin_Control,Raging Worgen,34711
Exp2_Paladin_Control,Light,34393
Exp2_Paladin_Control,Coldlight Seer,29344
Exp2_Paladin_Control,Emperor Cobra,28203
Exp2_Paladin_Control,Imp Master,26167
Exp2_Paladin_Control,Alexstrasza,19217
Exp2_Paladin_Control,Bananas,17268
Exp2_Paladin_Control,Nozdormu,10192
Exp2_Paladin_Control,Mortal Coil,202
Exp2_Warlock_Aggro,Voodoo Doctor,73273
Exp2_Warlock_Aggro,Dire Wolf Alpha,67927
Exp2_Warlock_Aggro,Worgen Infiltrator,67415
Exp2_Warlock_Aggro,Faerie Dragon,64390
Exp2_Warlock_Aggro,Murloc Warleader,60847
Exp2_Warlock_Aggro,The Coin,58140
Exp2_Warlock_Aggro,Doomguard,38115
Exp2_Warlock_Aggro,Succubus,34314
Exp2_Warlock_Aggro,Southsea Deckhand,33324
Exp2_Warlock_Aggro,Murloc Tidehunter,33165
Exp2_Warlock_Aggro,Tinkmaster Overspark,32782
Exp2_Warlock_Aggro,Wolfrider,32348
Exp2_Warlock_Aggro,Angry Chicken,32042
Exp2_Warlock_Aggro,Voidwalker,31917
Exp2_Warlock_Aggro,Young Dragonhawk,31849
Exp2_Warlock_Aggro,Mind Control Tech,31636
Exp2_Warlock_Aggro,Pint-Sized Summoner,29450
Exp2_Warlock_Aggro,Void Terror,29010
Exp2_Warlock_Aggro,Sunfury Protector,28993
Exp2_Warlock_Aggro,Loot Hoarder,28772
Exp2_Warlock_Aggro,Stampeding Kodo,22223
Exp2_Warlock_Aggro,Mortal Coil,19706
Exp2_Warlock_Aggro,Argent Commander,19127
Exp2_Warlock_Aggro,Demolisher,18328
Exp2_Warlock_Aggro,Bananas,13024
Exp2_Warlock_Aggro,Shieldbearer,9308
Exp2_Warlock_Aggro,Malygos,1812
Exp2_Warlock_Control,Abusive Sergeant,86687
Exp2_Warlock_Control,Dire Wolf Alpha,85526
Exp2_Warlock_Control,Master Swordsmith,73357
Exp2_Warlock_Control,The Coin,58869
Exp2_Warlock_Control,Fen Creeper,51712
Exp2_Warlock_Control,Dark Iron Dwarf,49973
Exp2_Warlock_Control,Darkscale Healer,47615
Exp2_Warlock_Control,Sunwalker,46993
Exp2_Warlock_Control,Voodoo Doctor,44225
Exp2_Warlock_Control,Sunfury Protector,44117
Exp2_Warlock_Control,Priestess of Elune,43169
Exp2_Warlock_Control,Succubus,42789
Exp2_Warlock_Control,Young Priestess,42398
Exp2_Warlock_Control,King Mukla,41710
Exp2_Warlock_Control,Leper Gnome,41492
Exp2_Warlock_Control,Wild Pyromancer,41381
Exp2_Warlock_Control,Stormwind Knight,40234
Exp2_Warlock_Control,Mana Wraith,39740
Exp2_Warlock_Control,Raging Worgen,39667
Exp2_Warlock_Control,Kobold Geomancer,39489
Exp2_Warlock_Control,River Crocolisk,39256
Exp2_Warlock_Control,Loot Hoarder,39241
Exp2_Warlock_Control,Mortal Coil,37938
Exp2_Warlock_Control,The Beast,36305
Exp2_Warlock_Control,Harvest Golem,35477
Exp2_Warlock_Control,Emperor Cobra,35473
Exp2_Warlock_Control,Lorewalker Cho,34045
Exp2_Warlock_Control,Bananas,22309
Exp2_Warlock_Control,Alexstrasza,15815
Exp2_Warlock_Control,Consecration,3370
Exp2_Warlock_Control,Animal Companion,1331
Exp2_Warlock_Control,Siphon Soul,589
Exp2_Warlock_Control,Avenging Wrath,440
Exp2_Warlock_Control,Blessing of Kings,410
Exp2_Warlock_Control,Kill Command,258
Exp2_Warlock_Control,Unleash the Hounds,222
Exp2_Warlock_Control,Lay on Hands,194
Exp2_Warlock_Control,Hammer of Wrath,179
Exp2_Warlock_Control,Blessing of Might,140
Exp2_Warlock_Control,Explosive Shot,127
Exp2_Warlock_Control,Equality,33
Exp2_Warlock_Control,Eye for an Eye,8
