deck,card,number of times played
Exp2_Hunter_Control,Imp Master,60829
Exp2_Hunter_Control,The Coin,59745
Exp2_Hunter_Control,Sen,51874
Exp2_Hunter_Control,Fen Creeper,51303
Exp2_Hunter_Control,Dragonling Mechanic,50592
Exp2_Hunter_Control,Silver Hand Knight,49002
Exp2_Hunter_Control,Animal Companion,42578
Exp2_Hunter_Control,Voodoo Doctor,42342
Exp2_Hunter_Control,Frostwolf Grunt,41734
Exp2_Hunter_Control,Millhouse Manastorm,41064
Exp2_Hunter_Control,Murloc Raider,40915
Exp2_Hunter_Control,Raid Leader,40473
Exp2_Hunter_Control,King Mukla,40227
Exp2_Hunter_Control,Magma Rager,40151
Exp2_Hunter_Control,Faerie Dragon,40139
Exp2_Hunter_Control,Stonetusk Boar,39577
Exp2_Hunter_Control,Argent Squire,39273
Exp2_Hunter_Control,Young Dragonhawk,39227
Exp2_Hunter_Control,Amani Berserker,38583
Exp2_Hunter_Control,River Crocolisk,38390
Exp2_Hunter_Control,Jungle Panther,37281
Exp2_Hunter_Control,Novice Engineer,34839
Exp2_Hunter_Control,Thrallmar Farseer,32589
Exp2_Hunter_Control,Nat Pagle,30986
Exp2_Hunter_Control,Eaglehorn Bow,19093
Exp2_Hunter_Control,Bananas,15373
Exp2_Hunter_Control,Deathwing,3112
Exp2_Hunter_Control,Mortal Coil,230
