Name;Rarity;Type;Subtype;Class;Cost;Atk;HP;Description;
Swipe;Free;Spell;; Druid;4 ;;;Deal 4 damage to an enemy and 1 damage to all other enemies. When a bear rears back and extends his arms, he's about to Swipe! ... or hug.;
Timber Wolf;Free;Minion;Beast; Hunter;1 ;1 ;1 ;Your other Beasts have +1 Attack. Other beasts totally dig hanging out with timber wolves.;
Totemic Might;Free;Spell;; Shaman;0 ;;;Give your Totems +2 Health. Totem-stomping is no longer recommended.;
Tracking;Free;Spell;; Hunter;1 ;;;Look at the top three cards of your deck. Draw one and discard the others. For the person who just cannot decide what card to put in their deck!;
Truesilver Champion;Free;Weapon;; Paladin;4 ;4 ;2 ;Whenever your hero attacks, restore 2 Health to it. It Slices, it Dices. You can cut a tin can with it. (But you wouldn't want to.);
Tundra Rhino;Free;Minion;Beast; Hunter;5 ;2 ;5 ;Your Beasts have Charge. Tundra rhinos are often mistaken for kodos. Or am I mistaken?;
Vanish;Free;Spell;; Rogue;6 ;;;Return all minions to their owner's hand. ;
Voidwalker;Free;Minion;Demon; Warlock;1 ;1 ;3 ;Taunt No relation to "The Voidsteppers", the popular Void-based dance troupe.;
Voodoo Doctor;Free;Minion;General; Any;1 ;2 ;1 ;Battlecry: Restore 2 Health. Voodoo is an oft-misunderstood art. But it is art.;
War Golem;Free;Minion;General; Any;7 ;7 ;7 ;Golems are not afraid, but for some reason they still run when you cast Fear on them. Instinct, maybe? A desire to blend in?;
Warsong Commander;Free;Minion;General; Warrior;3 ;2 ;3 ;Your Charge minions have +1 Attack. The Warsong clan is such drama. It's really not worth it to become a commander.;
Water Elemental;Free;Minion;Elemental; Mage;4 ;3 ;6 ;Freeze any character damaged by this minion. Don't summon a water elemental at a party. It'll dampen the mood.;
Whirlwind;Free;Spell;; Warrior;1 ;;;Deal 1 damage to ALL minions. The way to tell seasoned warriors from novice ones: the novices yell "wheeeee" while whirlwinding.;
Wild Growth;Free;Spell;; Druid;3 ;;;Gain an empty Mana Crystal. Grow your own mana crystals with this Mana Crystal Growth Kit, only 39.99!;
Windfury;Free;Spell;; Shaman;2 ;;;Give a minion Windfury. Windfury is like Earthfury and Firefury, but more light and airy.;
Windspeaker;Free;Minion;General; Shaman;4 ;3 ;3 ;Battlecry: Give a friendly minion Windfury. Is there anything worse than a Windspeaker with halitosis?;
Wolfrider;Free;Minion;General; Any;3 ;3 ;1 ;Charge Orcish raiders ride wolves because they are well adapted to harsh environments, and because they are soft and cuddly.
